Track,Driver,Stint,Lap,LapTime_s,Mean_TotalG,Std_TotalG,Max_TotalG,Mean_Speed_KPH,Mean_Throttle_Pct,Mean_Brake_Pct,Session
charlotte_roval_2025,Driver C,stint_2,15,109.90000000097189,0.7542930691830855,0.6188502885299386,1.7600445428013143,118.80103563529963,68.18113636515662,5.036707035785892,Driver C | charlotte_roval_2025 | stint_2
charlotte_roval_2025,Driver C,stint_2,16,102.43333333463761,0.7757159199114879,0.5182843749061596,1.8706295030789934,127.48112404629217,70.09270425260337,4.162636230236784,Driver C | charlotte_roval_2025 | stint_2
charlotte_roval_2025,Driver C,stint_2,17,99.58333333460132,0.7484121492193115,0.4263477587385013,1.7872279646573261,130.28676299129626,74.89137291124214,5.959330203180021,Driver C | charlotte_roval_2025 | stint_2
charlotte_roval_2025,Driver C,stint_2,18,99.78333333460387,0.7471630627932804,0.43675637109618726,1.843608378377285,130.49894219438633,73.51731366950567,5.409230396656087,Driver C | charlotte_roval_2025 | stint_2
charlotte_roval_2025,Driver C,stint_2,19,108.2000000013777,0.7413140330261114,0.5091445985813636,1.728744591299584,122.07877145300688,69.68581028069713,3.9076788728747185,Driver C | charlotte_roval_2025 | stint_2
charlotte_roval_2025,Driver C,stint_2,20,116.20000000147957,0.7121729397387113,0.4268310972422165,1.7543056676339575,113.41483355875481,67.87900654654833,6.008690681252946,Driver C | charlotte_roval_2025 | stint_2
charlotte_roval_2025,Driver C,stint_2,21,99.66666666793571,0.7690157712095238,0.49539815021001743,1.8810061078804745,130.56848787302317,73.68920970483671,5.60353040003472,Driver C | charlotte_roval_2025 | stint_2
charlotte_roval_2025,Driver C,stint_2,23,119.98333333486107,0.7222788733287276,0.6984065057913472,1.6800893925336953,110.26441224094854,68.95837304200137,5.459591770371642,Driver C | charlotte_roval_2025 | stint_2
charlotte_roval_2025,Driver C,stint_2,25,106.25000000135287,0.767705317060332,0.8714612388766125,1.8926477649497135,123.17117367251456,72.74416970856149,4.345047513223204,Driver C | charlotte_roval_2025 | stint_2
charlotte_roval_2025,Driver C,stint_2,26,100.73333333461596,0.7405111265554271,0.4377363467637,1.8685924698598986,129.0303428848683,73.67459542259367,6.182797972674846,Driver C | charlotte_roval_2025 | stint_2
charlotte_roval_2025,Driver C,stint_2,27,99.78333333460387,0.7618226294403282,0.44417318054833577,1.822341783461117,130.52959432793048,73.95689222549817,5.998351538911789,Driver C | charlotte_roval_2025 | stint_2
